Method,N,Time
k_torch_gpu,1,7.29560852051e-05
k_torch_gpu,2,0.000113964080811
k_torch_gpu,4,0.000185012817383
k_torch_gpu,8,0.000362157821655
k_torch_gpu,16,0.000622987747192
k_torch_gpu,32,0.00122404098511
k_torch_gpu,64,0.00269603729248
k_torch_gpu,128,0.00485014915466
k_torch_gpu,256,0.00946998596191
k_torch_gpu,512,0.0354130268097
k_torch_gpu,1024,0.242728948593
k_torch_gpu,2048,1.88919091225
k_tf_gpu,1,0.000643014907837
k_tf_gpu,2,0.000817060470581
k_tf_gpu,4,0.000756978988647
k_tf_gpu,8,0.000926971435547
k_tf_gpu,16,0.00106000900269
k_tf_gpu,32,0.00247001647949
k_tf_gpu,64,0.00257205963135
k_tf_gpu,128,0.00402402877808
k_tf_gpu,256,0.00862193107605
k_tf_gpu,512,0.0399959087372
k_tf_gpu,1024,0.251790046692
k_tf_gpu,2048,1.89642810822
for_c,1,1.13e-07
for_c,2,1.67e-07
for_c,4,2.17e-07
for_c,8,8.61e-07
for_c,16,4.889e-06
for_c,32,3.5312e-05
for_c,64,0.000230443
for_c,128,0.001611961
for_c,256,0.012511251
for_c,512,0.099369949
for_c,1024,0.753857444
for_c,2048,7.459837317
k_tf,1,0.000280857086182
k_tf,2,0.000349044799805
k_tf,4,0.000442981719971
k_tf,8,0.000526905059814
k_tf,16,0.000730991363525
k_tf,32,0.00158882141113
k_tf,64,0.00589489936829
k_tf,128,0.0143220424652
k_tf,256,0.0571219921112
k_tf,512,0.350581884384
k_tf,1024,1.82953310013
k_numpy,1,6.91413879395e-06
k_numpy,2,1.19209289551e-05
k_numpy,4,2.19345092773e-05
k_numpy,8,3.60012054443e-05
k_numpy,16,8.48770141602e-05
k_numpy,32,0.000257968902588
k_numpy,64,0.00146484375
k_numpy,128,0.00822806358337
k_numpy,256,0.0492389202118
k_numpy,512,0.366661071777
k_numpy,1024,3.68267297745
for_java,1,1.093e-06
for_java,2,1.717e-06
for_java,4,9.855e-06
for_java,8,8.4246e-05
for_java,16,0.00031832
for_java,32,0.002018801
for_java,64,0.00255422
for_java,128,0.009146232
for_java,256,0.069185611
for_java,512,0.4945082
for_java,1024,3.779792773
k_torch,1,3.09944152832e-05
k_torch,2,2.69412994385e-05
k_torch,4,5.00679016113e-05
k_torch,8,9.08374786377e-05
k_torch,16,0.00019907951355
k_torch,32,0.000466108322144
k_torch,64,0.00163006782532
k_torch,128,0.00802206993103
k_torch,256,0.0812368392944
k_torch,512,0.66380906105
k_torch,1024,4.67788600922
for_go,1,3.47e-07
for_go,2,4.9e-07
for_go,4,1.089e-06
for_go,8,3.8e-06
for_go,16,3.079e-05
for_go,32,0.000244552
for_go,64,0.001886645
for_go,128,0.013611769
for_go,256,0.14134072
for_go,512,0.867058905
for_go,1024,7.085346021
for_python,1,2.86102294922e-06
for_python,2,6.19888305664e-06
for_python,4,2.50339508057e-05
for_python,8,0.000159978866577
for_python,16,0.00120711326599
for_python,32,0.00935196876526
for_python,64,0.0758469104767
for_python,128,0.586315155029
for_python,256,4.61181783676
