Method,N,Time
mat_torch_gpu,1,4.2200088501e-05
mat_torch_gpu,2,4.31537628174e-05
mat_torch_gpu,4,3.981590271e-05
mat_torch_gpu,8,4.19616699219e-05
mat_torch_gpu,16,4.19616699219e-05
mat_torch_gpu,32,5.98430633545e-05
mat_torch_gpu,64,7.29560852051e-05
mat_torch_gpu,128,8.70227813721e-05
mat_torch_gpu,256,0.000123977661133
mat_torch_gpu,512,0.000519990921021
mat_torch_gpu,1024,0.0021800994873
mat_torch_gpu,2048,0.0147199630737
mat_torch_gpu,4096,0.112880945206
mat_torch_gpu,8192,0.894821166992
mat_torch_gpu,16384,7.13686513901
mat_tf_gpu,1,0.000778913497925
mat_tf_gpu,2,0.000824928283691
mat_tf_gpu,4,0.00068998336792
mat_tf_gpu,8,0.000641107559204
mat_tf_gpu,16,0.000914812088013
mat_tf_gpu,32,0.000649929046631
mat_tf_gpu,64,0.000662088394165
mat_tf_gpu,128,0.000764131546021
mat_tf_gpu,256,0.00109195709229
mat_tf_gpu,512,0.00202584266663
mat_tf_gpu,1024,0.00628280639648
mat_tf_gpu,2048,0.0278561115265
mat_tf_gpu,4096,0.168075084686
mat_tf_gpu,8192,1.09454298019
mat_torch,1,9.05990600586e-06
mat_torch,2,1.62124633789e-05
mat_torch,4,8.82148742676e-06
mat_torch,8,1.00135803223e-05
mat_torch,16,1.12056732178e-05
mat_torch,32,2.00271606445e-05
mat_torch,64,4.60147857666e-05
mat_torch,128,5.79357147217e-05
mat_torch,256,0.000475883483887
mat_torch,512,0.00122880935669
mat_torch,1024,0.0127561092377
mat_torch,2048,0.030473947525
mat_torch,4096,0.245604038239
mat_torch,8192,1.76148414612
mat_numpy,1,2.86102294922e-06
mat_numpy,2,1.19209289551e-05
mat_numpy,4,4.05311584473e-06
mat_numpy,8,4.05311584473e-06
mat_numpy,16,4.05311584473e-06
mat_numpy,32,1.00135803223e-05
mat_numpy,64,3.2901763916e-05
mat_numpy,128,0.000119924545288
mat_numpy,256,0.000396013259888
mat_numpy,512,0.00156188011169
mat_numpy,1024,0.0072820186615
mat_numpy,2048,0.057345867157
mat_numpy,4096,0.338021993637
mat_numpy,8192,2.23149609566
mat_tf,1,0.000308990478516
mat_tf,2,0.000387907028198
mat_tf,4,0.000346899032593
mat_tf,8,0.000319004058838
mat_tf,16,0.000363111495972
mat_tf,32,0.000308036804199
mat_tf,64,0.000550985336304
mat_tf,128,0.000591993331909
mat_tf,256,0.00110983848572
mat_tf,512,0.00304102897644
mat_tf,1024,0.0139179229736
mat_tf,2048,0.0989451408386
mat_tf,4096,0.722618103027
mat_tf,8192,6.15083599091
full_torch_gpu,1,5.00679016113e-05
full_torch_gpu,2,4.98294830322e-05
full_torch_gpu,4,5.19752502441e-05
full_torch_gpu,8,5.10215759277e-05
full_torch_gpu,16,5.69820404053e-05
full_torch_gpu,32,5.50746917725e-05
full_torch_gpu,64,7.48634338379e-05
full_torch_gpu,128,0.000285148620605
full_torch_gpu,256,0.00198602676392
full_torch_gpu,512,0.0162749290466
full_torch_gpu,1024,0.150403022766
full_tf_gpu,1,0.000661849975586
full_tf_gpu,2,0.000688076019287
full_tf_gpu,4,0.000707149505615
full_tf_gpu,8,0.000804901123047
full_tf_gpu,16,0.000716924667358
full_tf_gpu,32,0.000770092010498
full_tf_gpu,64,0.000781059265137
full_tf_gpu,128,0.00122404098511
full_tf_gpu,256,0.00539708137512
full_tf_gpu,512,0.0279819965363
full_tf_gpu,1024,0.212766170502
for_c,1,1.95e-07
for_c,2,3.05e-07
for_c,4,3.63e-07
for_c,8,1.091e-06
for_c,16,7.134e-06
for_c,32,5.4733e-05
for_c,64,0.000500424
for_c,128,0.00396732
for_c,256,0.02875204
for_c,512,0.241914231
for_c,1024,1.795387497
for_java,1,7.45e-07
for_java,2,1.102e-06
for_java,4,3.384e-06
for_java,8,2.2905e-05
for_java,16,0.000146022
for_java,32,0.001175193
for_java,64,0.001350706
for_java,128,0.002579463
for_java,256,0.026038331
for_java,512,0.26220668
for_java,1024,2.097773528
full_numpy,1,1.31130218506e-05
full_numpy,2,1.59740447998e-05
full_numpy,4,1.90734863281e-05
full_numpy,8,2.09808349609e-05
full_numpy,16,3.69548797607e-05
full_numpy,32,0.000179052352905
full_numpy,64,0.00120806694031
full_numpy,128,0.00608515739441
full_numpy,256,0.0584778785706
full_numpy,512,0.478839159012
full_numpy,1024,3.93598294258
full_torch,1,1.4066696167e-05
full_torch,2,1.4066696167e-05
full_torch,4,1.50203704834e-05
full_torch,8,1.71661376953e-05
full_torch,16,2.88486480713e-05
full_torch,32,0.000179052352905
full_torch,64,0.00113701820374
full_torch,128,0.00609421730042
full_torch,256,0.062695980072
full_torch,512,0.51310300827
full_torch,1024,4.07730388641
full_tf,1,0.000339984893799
full_tf,2,0.000383853912354
full_tf,4,0.000440120697021
full_tf,8,0.000437021255493
full_tf,16,0.000643968582153
full_tf,32,0.000765085220337
full_tf,64,0.00254988670349
full_tf,128,0.0115029811859
full_tf,256,0.0876708030701
full_tf,512,0.648772001266
full_tf,1024,5.21055006981
for_go,1,3.16e-07
for_go,2,3.52e-07
for_go,4,6.55e-07
for_go,8,2.31e-06
for_go,16,1.8363e-05
for_go,32,0.000176084
for_go,64,0.001328841
for_go,128,0.009536538
for_go,256,0.098996241
for_go,512,0.682685794
for_go,1024,7.725187447
ij_numpy,1,1.50203704834e-05
ij_numpy,2,3.00407409668e-05
ij_numpy,4,0.000103950500488
ij_numpy,8,0.000366926193237
ij_numpy,16,0.00141906738281
ij_numpy,32,0.00573897361755
ij_numpy,64,0.0227291584015
ij_numpy,128,0.0839409828186
ij_numpy,256,0.377239942551
ij_numpy,512,1.73117613792
ij_torch,1,1.4066696167e-05
ij_torch,2,3.00407409668e-05
ij_torch,4,9.89437103271e-05
ij_torch,8,0.000388860702515
ij_torch,16,0.00151014328003
ij_torch,32,0.00584721565247
ij_torch,64,0.0247421264648
ij_torch,128,0.105310916901
ij_torch,256,0.463705062866
ij_torch,512,2.08743190765
for_python,1,1.90734863281e-06
for_python,2,5.00679016113e-06
for_python,4,1.69277191162e-05
for_python,8,9.79900360107e-05
for_python,16,0.000771045684814
for_python,32,0.00547385215759
for_python,64,0.041965007782
for_python,128,0.344128847122
for_python,256,2.68101215363
ij_torch_gpu,1,7.29560852051e-05
ij_torch_gpu,2,0.000236034393311
ij_torch_gpu,4,0.000869989395142
ij_torch_gpu,8,0.00328922271729
ij_torch_gpu,16,0.013335943222
ij_torch_gpu,32,0.0536179542542
ij_torch_gpu,64,0.212279081345
ij_torch_gpu,128,0.8669090271
ij_torch_gpu,256,3.46722793579
ij_tf,1,0.000290155410767
ij_tf,2,0.00042986869812
ij_tf,4,0.000504970550537
ij_tf,8,0.000839948654175
ij_tf,16,0.00143003463745
ij_tf,32,0.0039529800415
ij_tf,64,0.0124850273132
ij_tf_gpu,1,0.000667095184326
ij_tf_gpu,2,0.000996828079224
ij_tf_gpu,4,0.00127100944519
ij_tf_gpu,8,0.00265312194824
ij_tf_gpu,16,0.00688099861145
ij_tf_gpu,32,0.025680065155
ij_tf_gpu,64,0.0574519634247
